totalId:ID,name,:LABEL
264772,1.00亿元,总授信额度
264773,3.00亿元,总授信额度
264774,9.45亿元,总授信额度
264775,1.20亿元,总授信额度
264776,0.80亿元,总授信额度
264777,10.00亿元,总授信额度
264778,12.00亿元,总授信额度
264779,4.00亿元,总授信额度
264780,292.52亿元,总授信额度
264781,6.00亿元,总授信额度
264782,2439.10亿元,总授信额度
264783,1.40亿元,总授信额度
264784,30.95亿元,总授信额度
264785,28.30亿元,总授信额度
264786,16.40亿元,总授信额度
264787,27.99亿元,总授信额度
264788,7.70亿元,总授信额度
264789,0.73亿元,总授信额度
264790,0.60亿元,总授信额度
264791,1.70亿元,总授信额度
264792,3.50亿元,总授信额度
264793,4.00亿元,总授信额度
264794,121.87亿元,总授信额度
264795,35.72亿元,总授信额度
264796,13.00亿元,总授信额度
264797,2.00亿元,总授信额度
264798,97.62亿元,总授信额度
264799,180.00亿元,总授信额度
264800,202.40亿元,总授信额度
264801,198.30亿元,总授信额度
264802,115.00亿元,总授信额度
264803,20.80亿元,总授信额度
264804,70.00亿元,总授信额度
264805,68.00亿元,总授信额度
264806,25.00亿元,总授信额度
264807,40.00亿元,总授信额度
264808,22.90亿元,总授信额度
264809,19.50亿元,总授信额度
264810,10.00亿元,总授信额度
264811,40.00亿元,总授信额度
264812,23.50亿元,总授信额度
264813,15.00亿元,总授信额度
264814,2.20亿元,总授信额度
264815,32.00亿元,总授信额度
264816,18.00亿元,总授信额度
264817,5.30亿元,总授信额度
264818,28.60亿元,总授信额度
264819,8.00亿元,总授信额度
264820,5.20亿元,总授信额度
264821,10.00亿元,总授信额度
264822,1.00亿元,总授信额度
264823,5.00亿元,总授信额度
264824,6.20亿元,总授信额度
264825,1171.80亿元,总授信额度
264826,52.61亿元,总授信额度
264827,25.76亿元,总授信额度
264828,1.00亿元,总授信额度
264829,1.00亿元,总授信额度
264830,0.92亿元,总授信额度
264831,9.60亿元,总授信额度
264832,2.50亿元,总授信额度
264833,14.17亿元,总授信额度
264834,2.87亿元,总授信额度
264835,2.30亿元,总授信额度
264836,35.24亿元,总授信额度
264837,5.00亿元,总授信额度
264838,138.35亿元,总授信额度
264839,0.04亿元,总授信额度
264840,73.91亿元,总授信额度
264841,1.50亿元,总授信额度
264842,623.00亿元,总授信额度
264843,108.50亿元,总授信额度
264844,230.98亿元,总授信额度
264845,130.00亿元,总授信额度
264846,230.00亿元,总授信额度
264847,150.00亿元,总授信额度
264848,218.37亿元,总授信额度
264849,92.00亿元,总授信额度
264850,216.03亿元,总授信额度
264851,95.00亿元,总授信额度
264852,125.00亿元,总授信额度
264853,100.00亿元,总授信额度
264854,205.00亿元,总授信额度
264855,2523.88亿元,总授信额度
264856,0.50亿元,总授信额度
264857,0.04亿元,总授信额度
264858,0.20亿元,总授信额度
264859,6.30亿元,总授信额度
264860,2.05亿元,总授信额度
264861,1.42亿元,总授信额度
264862,6.63亿元,总授信额度
264863,1.00亿元,总授信额度
264864,0.80亿元,总授信额度
264865,0.50亿元,总授信额度
264866,1.35亿元,总授信额度
264867,11.70亿元,总授信额度
264868,2.50亿元,总授信额度
264869,1.90亿元,总授信额度
264870,2.00亿元,总授信额度
264871,0.10亿元,总授信额度
264872,1.50亿元,总授信额度
264873,1.20亿元,总授信额度
264874,2.00亿元,总授信额度
264875,0.50亿元,总授信额度
264876,0.96亿元,总授信额度
264877,44.41亿元,总授信额度
264878,5.25亿元,总授信额度
264879,66.01亿元,总授信额度
264880,32.00亿元,总授信额度
264881,16.00亿元,总授信额度
264882,32.70亿元,总授信额度
264883,8.00亿元,总授信额度
264884,10.00亿元,总授信额度
264885,20.75亿元,总授信额度
264886,7.50亿元,总授信额度
264887,5.00亿元,总授信额度
264888,11.85亿元,总授信额度
264889,215.06亿元,总授信额度
264890,62.12亿元,总授信额度
264891,21.40亿元,总授信额度
264892,21.00亿元,总授信额度
264893,16.64亿元,总授信额度
264894,13.00亿元,总授信额度
264895,9.00亿元,总授信额度
264896,5.66亿元,总授信额度
264897,1.80亿元,总授信额度
264898,150.62亿元,总授信额度
264899,27.00亿元,总授信额度
264900,10.00亿元,总授信额度
264901,23.00亿元,总授信额度
264902,20.00亿元,总授信额度
264903,9.60亿元,总授信额度
264904,8.00亿元,总授信额度
264905,10.00亿元,总授信额度
264906,10.00亿元,总授信额度
264907,20.00亿元,总授信额度
264908,5.00亿元,总授信额度
264909,1.50亿元,总授信额度
264910,5.00亿元,总授信额度
264911,5.00亿元,总授信额度
264912,5.00亿元,总授信额度
264913,2.00亿元,总授信额度
264914,161.10亿元,总授信额度
264915,297.66亿元,总授信额度
264916,259.43亿元,总授信额度
264917,158.79亿元,总授信额度
264918,38.30亿元,总授信额度
264919,53.00亿元,总授信额度
264920,82.57亿元,总授信额度
264921,38.78亿元,总授信额度
264922,96.91亿元,总授信额度
264923,48.76亿元,总授信额度
264924,43.00亿元,总授信额度
264925,14.48亿元,总授信额度
264926,69.94亿元,总授信额度
264927,25.62亿元,总授信额度
264928,48.61亿元,总授信额度
264929,18.90亿元,总授信额度
264930,27.20亿元,总授信额度
