bankId:ID,name,:LABEL
246206,乐清农商行,合作银行
246207,华润银行,合作银行
246208,招商银行股份有限公司,合作银行
246209,兴业租赁,合作银行
246210,永赢租赁,合作银行
246211,交行,合作银行
246212,进出口银行,合作银行
246213,深发行,合作银行
246214,浙江金融资产交易中心,合作银行
246215,各信托公司授信,合作银行
246216,郾城包商村镇银行,合作银行
246217,昆仑租赁有限责任公司,合作银行
246218,中电通商融资租赁有限公司,合作银行
246219,中国建设银行股份有限公司,合作银行
246220,合肥科技农村商业银行庐阳支行,合作银行
246221,招商银行呼和浩特分行,合作银行
246222,农业银行海淀支行,合作银行
246223,长兴联合村镇银行,合作银行
246224,民生银行股份有限公司,合作银行
246225,光大银行南昌分行,合作银行
246226,天津农商行,合作银行
246227,中国农业银行,合作银行
246228,中国工商银行,合作银行
246229,中国邮储银行,合作银行
246230,广州农商银行,合作银行
246231,东莞银行,合作银行
246232,台州银行,合作银行
246233,重庆三峡银行营业部,合作银行
246234,华夏银行深圳大中华支行,合作银行
246235,中国银行淄川支行,合作银行
246236,兴业银行淄博分行,合作银行
246237,建设银行淄川支行,合作银行
246238,工商银行淄川支行,合作银行
246239,中信银行淄川支行,合作银行
246240,交通银行淄川支行,合作银行
246241,山东能源集团财务公司,合作银行
246242,邮政储蓄银行,合作银行
246243,浙商银行济南分行,合作银行
246244,济宁银行淄博分行,合作银行
246245,淄博淄川农村商业银行,合作银行
246246,齐商银行淄川支行,合作银行
246247,农业银行淄川支行,合作银行
246248,齐鲁村镇银行,合作银行
246249,齐鲁银行,合作银行
246250,其他商业银行,合作银行
246251,澳新银行,合作银行
246252,南洋商业银行深圳分行,合作银行
246253,国家开发银行山东分行,合作银行
246254,南洋银行,合作银行
246255,青岛银行,合作银行
246256,青岛农商行,合作银行
246257,长安信托,合作银行
246258,华润信托,合作银行
246259,交银信托,合作银行
246260,山东国际信托,合作银行
246261,韩亚银行,合作银行
246262,中海信托,合作银行
246263,锦州银行天桥支行,合作银行
246264,南粤银行珠海分行,合作银行
246265,招行银行,合作银行
246266,工银亚洲,合作银行
246267,江阴农商行,合作银行
246268,吉林银行,合作银行
246269,农商行,合作银行
246270,北京农村商业银行,合作银行
246271,国电财务有限公司,合作银行
246272,其他银行,合作银行
246273,渤海,合作银行
246274,中信银行常熟支行,合作银行
246275,中国银行-中行济南高新支行,合作银行
